Casación,Número de Expediente,Pretensión/Delito,Tipo Resolución,Fecha Resolución,Sala Suprema,Norma de Derecho Interno,Sumilla,Palabras Clave,Enlace Resolución
Casación,003707-2019,"Cancelación de Asiento Registral,Resolución de Contrato",Ejecutoria Suprema,09/07/2024,Sala Civil Transitoria,"Código Civil (D. Leg. 295) : 1229,Código Civil (D. Leg. 295) : 1428,Código Civil (D. Leg. 295) : 1529,Código Civil (D. Leg. 295) : 1558","En la Escritura Pública de Compra y Venta de Propiedad del 10 de febrero de 2004, existe una manifestación libre que se corresponde con el ejercicio de la autonomía de voluntad de las partes, respecto a que el precio fue cancelado en su totalidad, pues los vendedores declararon haber recibido de los compradores dicha suma de dinero a su entera satisfacción antes de la suscripción del contrato, lo que no ha sido desvirtuado por el demandante, lo que conlleva a desestimar su pretensión de resolución de contrato.","Libertad contractual,Título oneroso,falta de pago",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=e972213b-ffd9-4e57-8872-d6a2a0031496
Casación,003360-2019,"Ineficacia de Acto Jurídico,Cancelación de Asiento Registral",Ejecutoria Suprema,20/06/2024,Sala Civil Permanente,"Constitución Política del Perú : 139,Código Procesal Civil : 392-A","Examinada la sentencia de vista ahora impugnada se aprecia que la Sala Superior ha omitido pronunciarse sobre el agravio formulado en la apelación de la parte recurrente, descrito en el considerando sexto de la presente resolución, por lo que se verifica el supuesto e) de la sentencia del Expediente 03433-2013-PA/TC, del Tribunal Constitucional, esto es, existe una motivación incongruente","Motivación incongruente,principio tantum apellatum quantum devolutum,Afectación al debido proceso y la debida motivación,difucultad para cobro de deuda",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=971e5ce4-3b2a-404b-a9c9-908953a35c06
Casación,000831-2021,Obligación de Dar Suma de Dinero,Ejecutoria Suprema,20/06/2024,Sala Civil Transitoria,,"De acuerdo a lo establecido por el artículo 10 de la Ley de Títulos Valores N.º 27287, resulta válido emitir títulos valores incompletos, lo cual trae como consecuencia que el emitente de manera implícita autoriza al tenedor a que pueda completar el titulo valor, lo que evidentemente se debe producir posteriormente cuando se suscite el incumplimiento de la obligación.","LLENADO,titulo valor,obligacion de dar suma de dinero",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=8fe4c0c4-11b8-499c-b702-9eac1356a11b
Casación,000881-2021,A ingresar,Ejecutoria Suprema,20/06/2024,Sala Civil Transitoria,,"Sumilla: Corresponde declarar al demandante propietario por usucapión si se acredita que se cumplieron los requisitos exigidos por el artículo 950 del Código Civil antes de la expedición de la Ley N.° 29618 - Ley que establece la presunción que el Estado es el poseedor de los inmuebles de su propiedad y declara imprescriptibles los bienes inmuebles de dominio privado estatal, máxime si no acredita que, el bien inmueble materia de litis, se encuentre destinado al uso o sirva de soporte para la prestación de un servicio público, es decir, que esté comprendido como un bien estatal de dominio público.","LEY 29618,Usucapion,bienes inmuebles de dominio privado estatal",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=1efc71dc-b884-492e-a03b-fd87eafed6a4
Casación,001809-2021,Desalojo por Ocupación Precaria,Ejecutoria Suprema,18/06/2024,Sala Civil Transitoria,"Constitución Política del Perú : 139,Código Procesal Civil : 194","“Es viable el control casatorio tratándose de la infracción del debido proceso y el principio de la motivación, al tener incidencia las reglas que regulan la actividad probatoria, entre las cuales se hallan las que establecen que el Juez tiene la obligación procesal de valorar todos los medios probatorios en forma conjunta, en concordancia con el artículo 188 del Código Procesal Civil”:","órganos de auxilio judicial,Afectación al debido proceso y la debida motivación,Medios probatorios de oficio,derecho de posesion",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=7213aed4-f6bb-496c-ab82-336de5ec9cdf
Casación,004211-2021,Nulidad de Escritura Pública,Ejecutoria Suprema,18/06/2024,Sala Civil Transitoria,Código Civil (D. Leg. 295) : 315,"Se han infringido las reglas de la debida motivación, al omitir pronunciarse sobre aspectos importantes de los hechos controvertidos y no justificar objetivamente todas las razones que conducen a adoptar decisión, incurriéndose en la infracción normativa del inciso 5) del artículo 139 de la Constitución Política del Perú, careciendo de objeto emitir pronunciamiento sobre las causales de naturaleza material.","Principio de legitimación registral,Afectación al debido proceso y la debida motivación,justificacion objetiva",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=a77ac011-e7e1-4199-ac39-a4fc091a70b1
Casación,044794-2022,Nulidad de Acto Jurídico,Ejecutoria Suprema,18/06/2024,Sala de Derecho Constitucional y Social Permanente,"Código Procesal Civil,Código Civil (D. Leg. 295)","La Sala Superior modifica el extremo de la parte resolutiva referida a las escrituras públicas, estableciendo que las mismas son ineficaces, la cual es distinta a lo resuelto por el A-quo que declaró la nulidad de dichos documentos, y de la pretensión demandada, pues el actor textualmente ha pretendido la nulidad de los actos jurídicos y de las escrituras públicas que las contienen por simulación relativa. Dicha situación evidencia la afectación del debido proceso, puesto que el demandado ha orientado su defensa en contra el petitorio antes precisado, y al variarse sustancialmente la misma por parte de la Sala Superior, genera la afectación del derecho de defensa.",Nulidad de Acto Jurìdico,https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=c77ec5ec-10bc-4c8b-ad73-a2bad7334b90
Casación,000827-2021,Reivindicación,Ejecutoria Suprema,13/06/2024,Sala Civil Transitoria,,"El Ad quem omitió considerar que las cláusulas contractuales no se interpretan de forma aislada, sino en forma sistemática, esto es, unas por medio de las otras, y, en caso que alguna expresión tenga varios sentidos, debe entenderse en el más adecuado a la naturaleza y objeto del acto, conforme lo establecen los artículos 169 y 170 del mismo Código, en ese sentido, si bien no se señaló de manera expresa el monto del precio en el contrato de compraventa, resulta evidente que sí existió un precio pactado entre ambas partes, pues el vendedor declaró haberlo recibido a su entera satisfacción, tanto más, si conforme al artículo 949 del Código Civil, la transferencia de un bien inmueble es consensual, y se produce por la sola obligación de enajenar un inmueble determinado, por lo que, habiéndose acreditado que los contratantes sí fijaron un precio en el contrato de compraventa del 15 de mayo de 1990, elemento esencial del contrato de compraventa conforme al artículo 1529 del Código Civil, no","PROPIEDAD,Contrato de compra venta,interpretación contractual",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=f930bbed-f488-44af-bf18-96ad4a0926b9
Casación,001881-2020,Indemnización por Daños y Perjuicios,Ejecutoria Suprema,11/06/2024,Sala Civil Transitoria,"Código Civil (D. Leg. 295) : 1970,Código Civil (D. Leg. 295) : 1969,Código Civil (D. Leg. 295) : 1972,Código Civil (D. Leg. 295) : 1985","No se evidencia la ruptura del nexo causal que alega la demandada, pues el accidente de la demandante no fue producto de un hecho fortuito, sino debido a la omisión del deber de cuidado o culpa de la demandada Transportes Cruz del Sur Sociedad Anónima Cerrada., al no haber conservado en adecuadas condiciones la vía de acceso a su agencia en Paracas, de conformidad con los numerales 3.75, 33.1 y 33.6 del Reglamento Nacional de Administración de Transportes, aprobado por Decreto Supremo N.º 017-2009, lo que provocó que la demandada sufriera la caída que le ocasionó a su vez la fractura de su tobillo izquierdo, por las malas condiciones del suelo señaladas en la constatación policial de fecha 18 de abril de 2012.","Indemnización,Ruptura del Nexo Causal,Daño a la persona,Causal de eximente de responsabilidad",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=2ce04f06-8376-401b-9a54-f98617fe40ca
Casación,002908-2019,Otorgamiento de Escritura Pública,Ejecutoria Suprema,06/06/2024,Sala Civil Permanente,"Constitución Política del Perú : 139,Código Procesal Civil : 194,Código Procesal Civil : 197","El derecho a la debida motivación de las resoluciones judiciales, consagrado constitucionalmente a través del artículo 139 inciso 5 de la Constitución Política, importa que los jueces, al resolver las causas, expresen las razones o justificaciones objetivas que los llevan a tomar una determinada decisión. En el presente caso, esta Sala Suprema, advierte que no se ha expedido una resolución debidamente motivada al no haberse analizado en forma razonada los recibos presentados por la parte demandante conforme lo prevé el art. 197 del CPC.","Hipoteca constituida,No valoración conjunta de medios probatorios,Afectación al debido proceso y la debida motivación,litisconsorte necesario activo",https://jurisprudencia.pj.gob.pe/jurisprudenciaweb/ServletDescarga?uuid=d2923c49-ae25-4312-ad0d-3211d70f9de6
